Date,Crop_Type,Actual_Crop_Yield,Predicted_Crop_Yield,Actual_Soil_Quality,Predicted_Soil_Quality
2014-01-01,Barley,58.93979633901675,,35.0,
2014-01-02,Barley,8.159006261940537,,13.75,
2014-01-03,Barley,81.29906551707641,,60.0,
2014-01-04,Barley,33.29445898862128,,13.75,
2014-01-05,Barley,61.85110775554645,,60.0,
2014-01-06,Barley,6.483882013014096,,13.75,
2014-01-07,Barley,10.135818324693346,,22.5,
2014-01-08,Barley,25.40515212452463,,13.75,
2014-01-09,Barley,3.3399374124358907,,22.5,
2014-01-10,Barley,25.98794450843104,,22.5,
2014-01-11,Barley,5.298909846807394,,35.0,
2014-01-12,Barley,30.80338267093942,,60.0,
2014-01-13,Barley,91.28471531363145,,60.0,
2014-01-14,Barley,0.0,,43.75,
2014-01-15,Barley,56.56051919523635,,60.0,
2014-01-16,Barley,47.7551777576204,,13.75,
2014-01-17,Barley,54.27155612796125,,60.0,
2014-01-18,Barley,14.401889005358457,,43.75,
2014-01-19,Barley,80.27298638085095,,60.0,
2014-01-20,Barley,11.953000255399822,,13.75,
2014-01-21,Barley,25.601254843234432,,60.0,
2014-01-22,Barley,28.884135794590627,,22.5,
2014-01-23,Barley,1.0366542300051407,,13.75,
2014-01-24,Barley,6.4205038806205295,,43.75,
2014-01-25,Barley,30.817019408753943,,35.0,
2014-01-26,Barley,6.782802101660149,,43.75,
2014-01-27,Barley,56.37807769622457,,60.0,
2014-01-28,Barley,64.7982939265699,,60.0,
2014-01-29,Barley,64.95702038647084,,43.75,
2014-01-30,Barley,0.0,,60.0,
2014-01-31,Barley,24.186592525999103,,22.5,
2014-02-01,Barley,34.035094645128915,,35.0,
2014-02-02,Barley,37.63038493456495,,43.75,
2014-02-03,Barley,46.31036530745962,,43.75,
2014-02-04,Barley,12.163769132485616,,43.75,
2014-02-05,Barley,36.762541747676345,,22.5,
2014-02-06,Barley,67.4269704957,,43.75,
2014-02-07,Barley,13.467812344927207,,22.5,
2014-02-08,Barley,34.18923629303829,,13.75,
2014-02-09,Barley,12.931339982456956,,35.0,
2014-02-10,Barley,40.136061451024446,,13.75,
2014-02-11,Barley,63.73475274415914,,60.0,
